item|item_desc|class|subclass|department|creation_date|last_update_date
1|XXXX|AUDIFONOS|AUDIFONOS|||
2|WILD WINGS|AUDIFONOS|AUDIFONOS|||
3|WILD BONELESS|AUDIFONOS|AUDIFONOS|||
4|CHORIPAN|SMART WATCH|SMART WATCH|||
5|CARNITAS|SMART WATCH|SMART WATCH|||
6|COSTILLA|SMART WATCH|SMART WATCH|||
7|ALITAS|SMART WATCH|SMART WATCH|||
8|BONELESS|SMART WATCH|SMART WATCH|||
9|POPPERS|SMART WATCH|SMART WATCH|||
10|AUDIFONO  X15 NEGRO|AUDIFONOS|AUDIFONOS|||
11|119 PLUS SMART WATCH ROJO|SMART WATCH|SMART WATCH|||
12|AUDIFONO  X15 BLANCO|AUDIFONOS|AUDIFONOS|||
13|AY NO MAS|CELULAR|CELULAR|||
14|RIBLETS DE CERDO|ENVIOS|ENVIOS|||
15|SMOKED RIBS|ENVIOS|ENVIOS|||
16|SPARE RIBS|ENVIOS|ENVIOS|||
17|SAINT LOUIS|ENVIOS|ENVIOS|||
18|BUFALO|OTROS|OTROS|||
19|AJO CILANTRO|OTROS|OTROS|||
20|AUDIFONO I12TWS NEGRO|AUDIFONOS|AUDIFONOS|||
21|AUDIFONO I12TWS ROSADO|AUDIFONOS|AUDIFONOS|||
22|AUDIFONO I12TWS BLANCO|AUDIFONOS|AUDIFONOS|||
23|AUDIFONO I12TWS AZUL|AUDIFONOS|AUDIFONOS|||
24|AUDIFONO I12TWS CELESTE|AUDIFONOS|AUDIFONOS|||
25|AUDIFONO I12TWS ROJO|AUDIFONOS|AUDIFONOS|||
26|AUDIFONO I12TWS VERDE|AUDIFONOS|AUDIFONOS|||
27|AUDIFONO I12TWS MORADO|AUDIFONOS|AUDIFONOS|||
28|AUDIFONO I12TWS GRIS|AUDIFONOS|AUDIFONOS|||
29|AUDIFONO I12TWS AMARILLO|AUDIFONOS|AUDIFONOS|||
30|D18 SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
31|D18 SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
32|PINCHO DE RES|SMART WATCH|SMART WATCH|||
33|D18 SMART WATCH AZUL|SMART WATCH|SMART WATCH|||
34|PINCHO DE CAMARON|SMART WATCH|SMART WATCH|||
35|D18 SMART WATCH ROJO|SMART WATCH|SMART WATCH|||
36|D18 SMART WATCH VERDE|SMART WATCH|SMART WATCH|||
37|D18 SMART WATCH MORADO|SMART WATCH|SMART WATCH|||
38|AGUACHILE|CELULAR|CELULAR|||
39|TACO DE RES|CELULAR|CELULAR|||
40|D20 SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
41|D20 SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
42|D20 SMART WATCH BLANCO|SMART WATCH|SMART WATCH|||
43|MINI BURRITO DE RES|CELULAR|CELULAR|||
44|MINI BURRITO DE POLLO|CELULAR|CELULAR|||
45|TACO FRITO RES|CELULAR|CELULAR|||
46|TACO FRITO CAMARON|CELULAR|CELULAR|||
47|TACO FRITO POLLO|CELULAR|CELULAR|||
48|TOSTADA DE CAMARON|CELULAR|CELULAR|||
49|JALAPEÑO POPPER|CELULAR|CELULAR|||
50|F9 PRO NEGRO|AUDIFONOS|AUDIFONOS|||
51|F9 PRO ROSADO|AUDIFONOS|AUDIFONOS|||
52|F9 PRO BLANCO|AUDIFONOS|AUDIFONOS|||
53|F9 PRO AZUL|AUDIFONOS|AUDIFONOS|||
54|F9 PRO CELESTE|AUDIFONOS|AUDIFONOS|||
55|HAMBURGUESA CHIPOTLE|ENVIOS|ENVIOS|||
56|HAMBURGUESA HAWAIANA|ENVIOS|ENVIOS|||
57|PAPAS FRITAS|ENVIOS|ENVIOS|||
58|PAPAS GAJO|ENVIOS|ENVIOS|||
59|DEDOS DE QUESO|ENVIOS|ENVIOS|||
60|M28 GAMING|AUDIFONOS|AUDIFONOS|||
61|PIZZA JAMON|ENVIOS|ENVIOS|||
62|PIZZA HONGOS|ENVIOS|ENVIOS|||
63|PIZZA NEW YORK|ENVIOS|ENVIOS|||
64|HONGOS AL AJO|ENVIOS|ENVIOS|||
65|ALITAS BBQ|ENVIOS|ENVIOS|||
66|ALITAS BUFALO|ENVIOS|ENVIOS|||
67|NACHOS CON CHILI|ENVIOS|ENVIOS|||
68|AROS DE CEBOLLA|ENVIOS|ENVIOS|||
69|CHILI CON CARNE|ENVIOS|ENVIOS|||
70|N76 SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
71|N76 SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
72|N76 SMART WATCH BLANCO|SMART WATCH|SMART WATCH|||
73|APERROL SPRIT|AUDIFONOS||||
74|QUESO FRITO|OTROS|OTROS|||
75|BUTIFARRAS|OTROS|OTROS|||
76|COSTILLA AHUMADA|OTROS|OTROS|||
77|ANTICUCHO|OTROS|OTROS|||
78|CHORIZO DE COJUTE|OTROS|OTROS|||
79|CHIFRIJO|OTROS|OTROS|||
80|W37 SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
81|W37 SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
82|W37 SMART WATCH BLANCO|SMART WATCH|SMART WATCH|||
83|CHICHARRON|OTROS|OTROS|||
84|COSTILLA FRITA|OTROS|OTROS|||
85|COSTILLA AHUMADA|OTROS|OTROS|||
86|COSTILLA BBQ|OTROS|OTROS|||
87|ENREDO DE RES|OTROS|OTROS|||
88|ENREDO DE CERDO|OTROS|OTROS|||
89|ENREDO DE QUESO|OTROS|OTROS|||
90|T500+PRO SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
91|T500+PRO SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
92|T500+PRO SMART WATCH BLANCO|SMART WATCH|SMART WATCH|||
93|T500+PRO SMART WATCH AZUL|SMART WATCH|SMART WATCH|||
94|PIZZA PEPERONI|MENSAJES|MENSAJES|||
95|PIZZA HONGOS|MENSAJES|MENSAJES|||
96|T500+PRO SMART WATCH VERDE|SMART WATCH|SMART WATCH|||
97|SHOT DE LA CASA|AUDIFONOS||||
98|SODA|AUDIFONOS||||
99|AGUA|AUDIFONOS||||
100|MENSAJE|MENSAJES|MENSAJES|||
101|NARANJADA|AUDIFONOS||||
102|LIMONADA|AUDIFONOS||||
103|ENERGIZANTE|AUDIFONOS||||
104|RED BULL|AUDIFONOS||||
105|PICHEL DE CRANBERRY|AUDIFONOS||||
106|BOTELLA DE JAGER|AUDIFONOS||||
107|1/2 BOTELLA DE JAGER|AUDIFONOS||||
108|CUBA LIBRE|AUDIFONOS||||
109|MARGARITA|AUDIFONOS||||
110|W26+PRO SMART WATCH NEGRO|SMART WATCH|SMART WATCH|||
111|W26+PRO SMART WATCH ROSADO|SMART WATCH|SMART WATCH|||
112|W26+PRO SMART WATCH BLANCO|SMART WATCH|SMART WATCH|||
113|W26+PRO SMART WATCH AZUL|SMART WATCH|SMART WATCH|||
114|DAIKIRI|AUDIFONOS||||
115|W26+PRO SMART WATCH ROJO|SMART WATCH|SMART WATCH|||
116|COCO LOCO|AUDIFONOS||||
117|CV DE UNICORNIO|AUDIFONOS||||
118|SUPREMA|AUDIFONOS||||
119|PILSENER|AUDIFONOS||||
120|i13 TWS NEGRO|AUDIFONOS|AUDIFONOS|||
121|i13 TWS ROSADO|AUDIFONOS|AUDIFONOS|||
122|i13 TWS BLANCO|AUDIFONOS|AUDIFONOS|||
123|PILSENER 750ML|AUDIFONOS||||
124|i13 TWS CELESTE|AUDIFONOS|AUDIFONOS|||
125|AMSTEL ULTRA|AUDIFONOS||||
126|CORONA|AUDIFONOS||||
127|MILLER DRAFT|AUDIFONOS||||
128|GALLO|AUDIFONOS||||
129|MICHELOB ULTRA|AUDIFONOS||||
130|AIR PRO 5 BLANCO|AUDIFONOS|AUDIFONOS|||
131|STELLA ARTOIS|AUDIFONOS||||
132|BOTELLA DON JULIO|AUDIFONOS||||
133|BOT DON JULIO 70TH|AUDIFONOS||||
134|BOTELLA 1800|AUDIFONOS||||
135|BOTELLA JOSE CUERVO|AUDIFONOS||||
136|SHOT JAGERMEISTER |AUDIFONOS||||
137|SHOT FIREBALL|AUDIFONOS||||
138|SHOT TEQUILA|AUDIFONOS||||
139|SHOT VODKA|AUDIFONOS||||
140|AIR PRO 5 NEGRO|AUDIFONOS|AUDIFONOS|||
141|SHOT RON|AUDIFONOS||||
142|BLUE LABEL|AUDIFONOS||||
143|BLACK LABEL|AUDIFONOS||||
144|BUCHANANS|AUDIFONOS||||
145|OLD PARR|AUDIFONOS||||
146|FIREBALL|AUDIFONOS||||
147|SMIRNOFF |AUDIFONOS||||
148|FINLANDIA|AUDIFONOS||||
149|GREY GOOSE|AUDIFONOS||||
150|119 PLUS SMARTWATCH NEGRO|SMART WATCH|SMART WATCH|||
151|TITOS|AUDIFONOS||||
152|BOTRAN 8|AUDIFONOS||||
153|119 PLUS SMARTWATCH AZUL|SMART WATCH|SMART WATCH|||
154|ZACAPA 12|AUDIFONOS||||
155|119 PLUS SMARTWATCH ROJO|SMART WATCH|SMART WATCH|||
156|119 PLUS SMARTWATCH VERDE|SMART WATCH|SMART WATCH|||
157|CIHUATAN 12|AUDIFONOS||||
158|119 PLUS SMARTWATCH GRIS|SMART WATCH|SMART WATCH|||
159|VINO TINTO|AUDIFONOS||||
160|COVER CON BOLSITA|CELULAR|CELULAR|||
161|CHAMPAGNE|AUDIFONOS||||
162|MENSAJE|AUDIFONOS||||
163|DON JULIO 1942|AUDIFONOS||||
164|MACALLAN|AUDIFONOS||||
165|BLUE LABEL|AUDIFONOS||||
166|BOURBON|AUDIFONOS||||
167|JOHNNIE WALKER 18|AUDIFONOS||||
168|LONG ISLAND|AUDIFONOS||||
169|PROSECCO POP|AUDIFONOS||||
170|ENVIO 1.50|AUDIFONOS|AUDIFONOS|||
171|ENVIO 2.0|AUDIFONOS|AUDIFONOS|||
172|ENVIO 2.50|AUDIFONOS|AUDIFONOS|||
173|ENVIO 3.0|AUDIFONOS|AUDIFONOS|||
174|ENVIO 3.50|AUDIFONOS|AUDIFONOS|||
175|ENVIO 4.0|AUDIFONOS|AUDIFONOS|||
176|ENVIO 4.50|AUDIFONOS|AUDIFONOS|||
177|ENVIO 5.0|AUDIFONOS|AUDIFONOS|||
178|MIX |AUDIFONOS||||
179|DUO DE TUETANOS|MENSAJES|MENSAJES|||
180|RECARGO 5%|ENVIOS|ENVIOS|||
181|SOPECITO BARBACOA|MENSAJES|MENSAJES|||
182|CREMA DE FRIJOL AHUMADO|MENSAJES|MENSAJES|||
183|TORTA DE LECHON|CELULAR|CELULAR|||
184|TORTA DE ENTRANA|CELULAR|CELULAR|||
185|TACO DE POLLO|CELULAR|CELULAR|||
186|TUETANO DE RES(4PZ)|ENVIOS|ENVIOS|||
187|PULPO ASADO |ENVIOS|ENVIOS|||
188|ORDEN EXTRA DE CHICHARRON |MENSAJES|MENSAJES|||
189|SAINT LOUIS|AUDIFONOS||||
190|COMBO D20 + i12 NEGRO|OTROS|OTROS|||
191|COMBO D20 + i12 ROSADO|OTROS|OTROS|||
192|COMBO D20 + i12 BLANCO|OTROS|OTROS|||
193|COMBO D20 + i12 AZUL|OTROS|OTROS|||
194|2 TACOS DE LENGUA|CELULAR|CELULAR|||
195|1-2 TITOS|AUDIFONOS||||
196|VALET PARKING |AUDIFONOS||||
197|TONICA|AUDIFONOS||||
198|DUO DE QUESADILLAS DE BARBACOA |MENSAJES|MENSAJES|||
199|SOPES RELLENO DE QUESO Y LENGUA|MENSAJES|MENSAJES|||
200|COMBO D20 + i13 NEGRO|OTROS|OTROS|||
201|COMBO D20 + i13 ROSADO|OTROS|OTROS|||
202|COMBO D20 + i13 BLANCO|OTROS|OTROS|||
203|COMBO D20 + i13 AZUL|OTROS|OTROS|||
204|COPA VINO ROSE|AUDIFONOS||||
205|COPA VINO BLANCO|AUDIFONOS||||
206|BOTELLA VINO CABERNET SAUVIGNON|AUDIFONOS||||
207|BOTELLA VINO TINTO MERLOT|AUDIFONOS||||
208|BOTELLA VINO ROSE WOODBRIDGE|AUDIFONOS||||
209|BOTELLA VINO BLANC |AUDIFONOS||||
210|COMBO D20 + F9 NEGRO|OTROS|OTROS|||
211|COMBO D20 + F9 ROSADO|OTROS|OTROS|||
212|COMBO D20 + F9 BLANCO|OTROS|OTROS|||
213|COMBO D20 + F9 AZUL|OTROS|OTROS|||
214|CERVEZA STELLA|AUDIFONOS||||
215|ANCHO REYES DOBLE |AUDIFONOS||||
216|TACO ENTRANA EXTRA|AUDIFONOS||||
217|CIHUATAN DOBLE|AUDIFONOS||||
218|EXTRA DE TOTOPOS|AUDIFONOS||||
219|CIHUATAN 12 DOBLE|AUDIFONOS||||
220|COMBO D20 + X15 NEGRO|OTROS|OTROS|||
221|COMBO D20 + X15 ROSADO|OTROS|OTROS|||
222|COMBO D20 + X15 BLANCO|OTROS|OTROS|||
223|COMBO D20 + X15 AZUL|OTROS|OTROS|||
224|PINA COLADA CON LICOR|AUDIFONOS||||
225|NUESTROS SOPES|MENSAJES|MENSAJES|||
226|COLIFLOR|MENSAJES|MENSAJES|||
227|ATUN|MENSAJES|MENSAJES|||
228|CHILAQUILES  |MENSAJES|MENSAJES|||
229|CONSOME|SMART WATCH|SMART WATCH|||
230|COMBO D18 + i12 NEGRO|OTROS|OTROS|||
231|COMBO D18 + i12 ROSADO|OTROS|OTROS|||
